Symbol,Name
BTC-USD,Bitcoin USD
ETH-USD,Ethereum USD
BNB-USD,BinanceCoin USD
DOGE-USD,Dogecoin USD
ADA-USD,Cardano USD
USDT-USD,Tether USD
XRP-USD,XRP USD
DOT1-USD,Polkadot USD
BCH-USD,BitcoinCash USD
LTC-USD,Litecoin USD
LINK-USD,Chainlink USD
UNI3-USD,Uniswap USD
XLM-USD,Stellar USD
USDC-USD,USDCoin USD
VET-USD,VeChain USD
ETC-USD,EthereumClassic USD
SOL1-USD,Solana USD
THETA-USD,THETA USD
TRX-USD,TRON USD
FIL-USD,FilecoinFutures USD
EOS-USD,EOS USD
XMR-USD,Monero USD
NEO-USD,NEO USD
HEX-USD,HEX USD
BSV-USD,BitcoinSV USD
