Symbol,Name
EURUSD=X,Dólar/Euro
EUR=X,USD/EUR
EURGBP=X,EUR/GBP
GBPEUR=X,GBP/EUR
EURCHF=X,EUR/CHF
CHFEUR=X,CHF/EUR
GBP=X,USD/GBP
GBPUSD=X,GBP/USD
USDCHF=X,USD/CHF
GBPJPY=X,GBP/JPY
USDCHF=X,USD/CHF
GBPJPY=X,GBP/JPY
EURJPY=X,EUR/JPY
EURCAD=X,EUR/CAD
EURSEK=X,EUR/SEK
EURHUF=X,EUR/HUF
EURJPY=X,EUR/JPY
USDCNY=X,USD/CNY
USDHKD=X,USD/HKD
USDSGD=X,USD/SGD
USDINR=X,USD/INR
USDMXN=X,USD/MXN
USDPHP=X,USD/PHP
USDIDR=X,USD/IDR
USDTHB=X,USD/THB
USDMYR=X,USD/MYR
USDZAR=X,USD/ZAR
USDRUB=X,USD/RUB
JPY=X,USD/JPY
AUDUSD=X,AUD/USD
AUDJPY=X,AUD/JPY
CAD=X,USD/CAD
NZDUSD=X,NZD/USD
